Rxn_ID	Rxn_Name	GPR	Subsystem	Formula	Readable_Formula
rxn00988[c0]	Acetoacetate CoA ligase AMP-forming c0	(MMP0566)	Branched Chain Amino Acid Degradation Regulons	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd00142[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd00279[c0] 	H[c0] + CoA[c0] + ATP[c0] + Acetoacetate[c0]  -> PPi[c0] + AMP[c0] + Acetoacetyl-CoA[c0] 	
rxn05236[c0]	Ribonucleotide reductase UTP c0	MMP0227	Ribonucleotide Reduction	cpd11421[c0] + cpd00062[c0]  -> cpd11420[c0] + cpd00001[c0] + cpd00358[c0] 	trdrd[c0] + UTP[c0]  -> trdox[c0] + H2O[c0] + dUTP[c0] 	
rxn02835[c0]	1-5-phospho-D-ribosyl-AMP 1 6-hydrolase c0	(MMP0280 and MMP0051)	Histidine Biosynthesis	cpd00001[c0] + cpd01777[c0]  <=> cpd02979[c0] 	H2O[c0] + Phosphoribosyl-AMP[c0]  <=> phosphoribosylformiminoaicar-phosphate[c0] 	
rxn00726[c0]	Chorismate pyruvate-lyase amino-accepting c0	(MMP1006 and MMP1005)	Tryptophan Synthesis	cpd00013[c0] + cpd00216[c0]  -> cpd00067[c0] + cpd00001[c0] + cpd00020[c0] + cpd00093[c0] 	NH3[c0] + Chorismate[c0]  -> H[c0] + H2O[c0] + Pyruvate[c0] + Anthranilate[c0] 	
rxn03147[c0]	1-5-Phosphoribosyl-5-amino-4-carboxyimidazole L-aspartate ligase c0	MMP0540	De Novo Purine Biosynthesis	cpd02893[c0] + cpd00002[c0] + cpd00041[c0]  -> 2 cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd02921[c0] 	5'-Phosphoribosyl-4-carboxy-5-aminoimidazole[c0] + ATP[c0] + L-Aspartate[c0]  -> 2 H[c0] + Phosphate[c0] + ADP[c0] + SAICAR[c0] 	
rxn00650[c0]	membrane alanyl aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd01017[c0]  <=> cpd00033[c0] + cpd00084[c0] 	H2O[c0] + Cys-Gly[c0]  <=> Glycine[c0] + L-Cysteine[c0] 	
rxn01241[c0]	Dihydrolipoamide NAD oxidoreductase c0	MMP1332	TCA Cycle	cpd00003[c0] + cpd00449[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd00213[c0] 	NAD[c0] + Dihydrolipoamide[c0]  <=> H[c0] + NADH[c0] + Lipoamide[c0] 	
rxn10229[c0]	isopentadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase c0	MMP1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00054[c0] + cpd15686[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15692[c0] 	L-Serine[c0] + CDP-1_2-diisopentadecanoylglycerol[c0]  -> H[c0] + CMP[c0] + Diisopentadecanoylphosphatidylserine[c0] 	
rxn00776[c0]	Uracil hydro-lyase adding D-ribose 5-phosphate c0	(MMP0268)	tRNA Modification (Bacteria); rRNA Modification (Bacteria)	cpd00101[c0] + cpd00092[c0]  -> cpd00001[c0] + cpd00859[c0] 	ribose-5-phosphate[c0] + Uracil[c0]  -> H2O[c0] + Pseudouridine_5'-phosphate[c0] 	
rxn12646[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11580[c0]  <=> cpd00033[c0] + cpd00053[c0] 	H2O[c0] + Gly-Gln[c0]  <=> Glycine[c0] + L-Glutamine[c0] 	
rxn09296[c0]	hydrogen peroxide reductase thioredoxin c0	(MMP1635 or MMP0958)	Glycine Reductase, Sarcosine Reductase, and Betaine Reductase	cpd11421[c0] + cpd00025[c0]  -> cpd11420[c0] + 2 cpd00001[c0] 	trdrd[c0] + H2O2[c0]  -> trdox[c0] + 2 H2O[c0] 	
rxn01255[c0]	5-O-1-Carboxyvinyl-3-phosphoshikimate phosphate-lyase c0	MMP1333	Chorismate Synthesis	cpd00932[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00216[c0] 	5-O-1-Carboxyvinyl-3-phosphoshikimate[c0]  -> H[c0] + Phosphate[c0] + Chorismate[c0] 	
rxn03194[c0]	S-2-Aceto-2-hydroxybutanoate pyruvate-lyase carboxylating c0	(MMP0651 and MMP0650)	Branched Chain Amino Acid Biosynthesis; Acetoin, Butanediol Metabolism	cpd03049[c0] + cpd00094[c0]  <=> cpd00498[c0] + cpd00056[c0] 	2-Hydroxyethyl-ThPP[c0] + 2-Oxobutyrate[c0]  <=> 2-Aceto-2-hydroxybutanoate[c0] + TPP[c0] 	
rxn10222[c0]	isotetradecanoyl-phosphatidate cytidylyltransferase c0	MMP1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00052[c0] + cpd15679[c0]  <=> cpd00012[c0] + cpd15685[c0] 	CTP[c0] + 1_2-diisotetradecanoyl-sn-glycerol_3-phosphate[c0]  <=> PPi[c0] + CDP-1_2-diisotetradecanoylglycerol[c0] 	
rxn11938[c0]	Formylmethanofuran NAD oxidoreductase c0	(MMP1244 and MMP1245 and MMP1246 and MMP1247 and MMP1248 and (MMP1249 or MMP0070)) or (MMP0508 and MMP0509 and MMP0510 and (MMP0511 or MMP0512))	Methanogenesis	cpd00001[c0] + cpd11621[c0] + cpd00735[c0]  <=> cpd00067[c0] + cpd00011[c0] + cpd11620[c0] + cpd00643[c0] 	H2O[c0] + Oxidizedferredoxin[c0] + Formylmethanofuran[c0]  <=> H[c0] + CO2[c0] + Reducedferredoxin[c0] + Methanofuran[c0] 	
rxn02287[c0]	S-Adenosyl-L-methionine uroporphyrin-III C-methyltransferase c0	MMP0966	Coenzyme B12 Biosynthesis	2 cpd00017[c0] + cpd00774[c0]  <=> 2 cpd00067[c0] + 2 cpd00019[c0] + cpd01620[c0] 	2 S-Adenosyl-L-methionine[c0] + UroporphyrinogenIII[c0]  <=> 2 H[c0] + 2 S-Adenosyl-homocysteine[c0] + Precorrin_2[c0] 	
rxn02475[c0]	2 5-Diamino-6-hydroxy-4-5-phosphoribosylamino-pyrimidine c0	(MMP1348)	Riboflavin, FMN, and FAD Metabolism	cpd00067[c0] + cpd00001[c0] + cpd00957[c0]  -> cpd00013[c0] + cpd00931[c0] 	H[c0] + H2O[c0] + 2_5-Diamino-6-5'-phosphoribosylamino-4-pyrimidineone[c0]  -> NH3[c0] + 5-Amino-6-5-phosphoribosylaminouracil[c0] 	
rxn00147[c0]	ATP pyruvate water phosphotransferase c0	MMP1094	Glycolysis and Gluconeogenesis	cpd00001[c0] + cpd00002[c0] + cpd00020[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00061[c0] + cpd00018[c0] 	H2O[c0] + ATP[c0] + Pyruvate[c0]  -> H[c0] + Phosphate[c0] + Phosphoenolpyruvate[c0] + AMP[c0] 	
rxn02774[c0]	S-Adenosyl-L-methionine uroporphyrin-III C-methyltransferase c0	(MMP0966 or MMP0089)	Heme and Siroheme Biosynthesis	cpd00003[c0] + cpd01620[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd03426[c0] 	NAD[c0] + Precorrin_2[c0]  <=> H[c0] + NADH[c0] + Sirohydrochlorin[c0] 	
rxn05172[c0]	Taurine-ABC transport c0	MMP1260 or MMP1197 or MMP1198	Transport	cpd00001[c0] + cpd00002[c0] + cpd00210[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00210[c0] 	H2O[c0] + ATP[c0] + Taurine[e0]  -> H[c0] + Phosphate[c0] + ADP[c0] + Taurine[c0] 	
rxn03057[c0]	5-Methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase c0	MMP1618	Methionine Salvage	cpd02574[c0]  <=> cpd02791[c0] 	methylthioribose-1-phosphate[c0]  <=> methylthioribulose-1-phosphate[c0] 	
rxn01485[c0]	D-Glucosamine 1-phosphate 1 6-phosphomutase c0	MMP1077	Sialic Acid Metabolism	cpd03671[c0]  <=> cpd00288[c0] 	D-Glucosamine1-phosphate[c0]  <=> D-Glucosamine_phosphate[c0] 	
rxn13784[c0]	RNA transcription c0	(MMP1526 and MMP0323)	tRNA Modification (Bacteria)	 -> cpd17043[c0] 	 -> RNA_transcription[c0] 	
rxn00245[c0]	R-Tartrate hydro-lyase c0	(MMP1548 or MMP0130)	None	cpd00666[c0]  -> cpd00001[c0] + cpd00032[c0] 	Tartrate[c0]  -> H2O[c0] + Oxaloacetate[c0] 	
rxn01629[c0]	S-4-Amino-5-oxopentanoate 4 5-aminomutase c0	MMP0224	Heme and Siroheme Biosynthesis	cpd00338[c0]  <=> cpd02345[c0] 	5-Aminolevulinate[c0]  <=> L-Glutamate1-semialdehyde[c0] 	
rxn06874[c0]	reduced ferredoxin dinitrogen oxidoreductase ATP-hydrolysing c0	MMP0853 and MMP0856 and MMP0857 and MMP0858 and MMP0859 and MMP0860	Nitrogen Fixation	16 cpd00001[c0] + 16 cpd00002[c0] + 4 cpd11620[c0] + cpd00528[c0]  <=> 6 cpd00067[c0] + 16 cpd00009[c0] + 16 cpd00008[c0] + 2 cpd00013[c0] + 4 cpd11621[c0] + cpd11640[c0] 	16 H2O[c0] + 16 ATP[c0] + 4 Reducedferredoxin[c0] + N2[c0]  <=> 6 H[c0] + 16 Phosphate[c0] + 16 ADP[c0] + 2 NH3[c0] + 4 Oxidizedferredoxin[c0] + H2[c0] 	
rxn06299[c0]	Hydrogen acceptor oxidoreductase c0	(MMP1382 and MMP1383 and MMP1384 and MMP1385) or (MMP0817 and MMP0818 and MMP0819 and MMP0820)	Methanogenesis	cpd11640[c0] + cpd00649[c0]  <=> cpd00792[c0] 	H2[c0] + Coenzyme_F420[c0]  <=> Reduced_coenzyme_F420[c0] 	
rxn05313[c0]	PIt8 c0	MMP0666	Transport	cpd00009[e0] + 3 cpd00971[e0]  <=> cpd00009[c0] + 3 cpd00971[c0] 	Phosphate[e0] + 3 Na[e0]  <=> Phosphate[c0] + 3 Na[c0] 	
rxn00966[c0]	chorismate pyruvate-lyase 4-hydroxybenzoate-forming c0	MMP0543	Ubiquionine Biosynthesis	cpd00216[c0]  -> cpd00020[c0] + cpd00136[c0] 	Chorismate[c0]  -> Pyruvate[c0] + 4-Hydroxybenzoate[c0] 	
rxn00785[c0]	D-Fructose 6-phosphate D-glyceraldehyde-3-phosphate glycolaldehyde c0	(MMP1113 or MMP1115)	Pentose Phosphate Pathway	cpd00072[c0] + cpd00102[c0]  <=> cpd00198[c0] + cpd00236[c0] 	D-fructose-6-phosphate[c0] + Glyceraldehyde3-phosphate[c0]  <=> D-Xylulose5-phosphate[c0] + D-Erythrose4-phosphate[c0] 	
rxn03084[c0]	5'-Phosphoribosylformylglycinamide L-glutamine amido-ligase c0	MMP0178 or MMP0179	De Novo Purine Biosynthesis	cpd00001[c0] + cpd00002[c0] + cpd00053[c0] + cpd02678[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd02826[c0] + cpd00023[c0] 	H2O[c0] + ATP[c0] + L-Glutamine[c0] + N-Formyl-GAR[c0]  -> H[c0] + Phosphate[c0] + ADP[c0] + 5'-Phosphoribosylformylglycinamidine[c0] + L-Glutamate[c0] 	
rxn00011[c0]	pyruvate thiamin diphosphate acetaldehydetransferase c0	(MMP0651 and MMP0650)	Methionine Degradation	cpd00067[c0] + cpd00020[c0] + cpd00056[c0]  -> cpd00011[c0] + cpd03049[c0] 	H[c0] + Pyruvate[c0] + TPP[c0]  -> CO2[c0] + 2-Hydroxyethyl-ThPP[c0] 	
rxn00292[c0]	UDP-N-acetyl-D-glucosamine 2-epimerase c0	(MMP0705 or MMP0357)	Sialic Acid Metabolism	cpd00001[c0] + cpd00037[c0]  -> cpd00014[c0] + cpd00492[c0] 	H2O[c0] + UDP-N-acetylglucosamine[c0]  -> UDP[c0] + N-Acetyl-D-mannosamine[c0] 	
rxn05252[c0]	FACOAL170ISO c0	MMP0566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd11431[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd11432[c0] 	H[c0] + CoA[c0] + ATP[c0] + fa11[c0]  -> PPi[c0] + AMP[c0] + fa11coa[c0] 	
rxn05155[c0]	L-Glutamine-ABC transport c0	MMP1224 or MMP0229 or MMP0455	Transport	cpd00001[c0] + cpd00002[c0] + cpd00053[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00053[c0] 	H2O[c0] + ATP[c0] + L-Glutamine[e0]  -> H[c0] + Phosphate[c0] + ADP[c0] + L-Glutamine[c0] 	
rxn01513[c0]	ATP dTMP phosphotransferase c0	MMP1034	Pyrimidine Conversions	cpd00002[c0] + cpd00298[c0]  <=> cpd00008[c0] + cpd00297[c0] 	ATP[c0] + dTMP[c0]  <=> ADP[c0] + dTDP[c0] 	
rxn02476[c0]	Phosphoenolpyruvate 3-phosphoshikimate c0	MMP1205	Chorismate Synthesis	cpd00061[c0] + cpd02030[c0]  <=> cpd00067[c0] + cpd00009[c0] + cpd00932[c0] 	Phosphoenolpyruvate[c0] + 3-phosphoshikimate[c0]  <=> H[c0] + Phosphate[c0] + 5-O-1-Carboxyvinyl-3-phosphoshikimate[c0] 	
rxn01575[c0]	L-Isoleucine 2-oxoglutarate aminotransferase c0	MMP0132	Amino Acid Biosynthesis	cpd00024[c0] + cpd00322[c0]  <=> cpd00023[c0] + cpd00508[c0] 	2-Oxoglutarate[c0] + L-Isoleucine[c0]  <=> L-Glutamate[c0] + 3MOP[c0] 	
rxn09206[c0]	Phosphatidylserine syntase n-C14 0 c0	MMP1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00054[c0] + cpd15423[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15553[c0] 	L-Serine[c0] + CDP-1_2-ditetradecanoylglycerol[c0]  -> H[c0] + CMP[c0] + phosphatidylserine_ditetradecanoyl[c0] 	
rxn05181[c0]	Betaine-ABC transport c0	MMP0866 or MMP0867 or MMP0868	Transport	cpd00001[c0] + cpd00002[c0] + cpd00540[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00540[c0] 	H2O[c0] + ATP[c0] + BET[e0]  -> H[c0] + Phosphate[c0] + ADP[c0] + BET[c0] 	
rxn00775[c0]	ADPribose ribophosphohydrolase c0	MMP0339	NAD/NADP Cofactor Biosynthesis	cpd00001[c0] + cpd00251[c0]  -> cpd00101[c0] + cpd00018[c0] 	H2O[c0] + ADPribose[c0]  -> ribose-5-phosphate[c0] + AMP[c0] 	
rxn00364[c0]	ATP CMP phosphotransferase c0	MMP0626	Pyrimidine Conversions	cpd00002[c0] + cpd00046[c0]  <=> cpd00008[c0] + cpd00096[c0] 	ATP[c0] + CMP[c0]  <=> ADP[c0] + CDP[c0] 	
rxn00515[c0]	ATP nucleoside-diphosphate phosphatransferase c0	MMP0283	Purine Conversions; Pyrimidine Conversions	cpd00002[c0] + cpd00090[c0]  <=> cpd00008[c0] + cpd00068[c0] 	ATP[c0] + IDP[c0]  <=> ADP[c0] + ITP[c0] 	
rxn01025[c0]	5-Methylcytosine aminohydrolase c0	MMP0869	Pyrimidine Conversions	cpd00067[c0] + cpd00001[c0] + cpd01587[c0]  -> cpd00013[c0] + cpd00151[c0] 	H[c0] + H2O[c0] + 5-Methylcytosine[c0]  -> NH3[c0] + Thymine[c0] 	
rxn02186[c0]	2 3-Dihydroxy-3-methylbutanoate NADP oxidoreductase isomerizing c0	MMP0654	Coenzyme A Biosynthesis; Branched Chain Amino Acid Biosynthesis 	cpd00067[c0] + cpd00005[c0] + cpd00668[c0]  <=> cpd00006[c0] + cpd02498[c0] 	H[c0] + NADPH[c0] + ALCTT[c0]  <=> NADP[c0] + 2_3-Dihydroxy-isovalerate[c0] 	
rxn10227[c0]	anteisoheptadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase c0	MMP1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00054[c0] + cpd15684[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15690[c0] 	L-Serine[c0] + CDP-1_2-dianteisoheptadecanoylglycerol[c0]  -> H[c0] + CMP[c0] + Dianteisoheptadecanoylphosphatidylserine[c0] 	
rxn12846[c0]	Gly-Phe aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd15605[c0]  <=> cpd00033[c0] + cpd00066[c0] 	H2O[c0] + Gly-Phe[c0]  <=> Glycine[c0] + L-Phenylalanine[c0] 	
rxn05201[c0]	Hypoxanthine ion-coupled transport c0	MMP0681 or MMP0689	Transport	cpd00067[e0] + cpd00226[e0]  <=> cpd00067[c0] + cpd00226[c0] 	H[e0] + HYXN[e0]  <=> H[c0] + HYXN[c0] 	
rxn02789[c0]	2-Isopropylmalate hydro-lyase c0	(MMP0136 or MMP1149)	Branched Chain Amino Acid Biosynthesis	cpd01646[c0]  <=> cpd00001[c0] + cpd01710[c0] 	2-Isopropylmalate[c0]  <=> H2O[c0] + 2-Isopropylmaleate[c0] 	
rxn00830[c0]	Isopentenyl-diphosphate delta3-delta2-isomerase c0	MMP0043	Isoprenoid Biosynthesis; Archaeal Lipids	cpd00113[c0]  <=> cpd00202[c0] 	Isopentenyldiphosphate[c0]  <=> DMAPP[c0] 	
rxn08180[c0]	Biotin synthase c0	MMP1238	Biotin Biosynthesis	cpd00017[c0] + cpd01311[c0] + cpd00074[c0]  -> cpd00067[c0] + cpd00060[c0] + cpd03091[c0] + cpd00104[c0] 	S-Adenosyl-L-methionine[c0] + Dethiobiotin[c0] + S[c0]  -> H[c0] + L-Methionine[c0] + 5'-Deoxyadenosine[c0] + BIOT[c0] 	
rxn00800[c0]	N6-1 2-DicarboxyethylAMP AMP-lyase c0	MMP0971	De Novo Purine Biosynthesis	cpd02375[c0]  <=> cpd00106[c0] + cpd00018[c0] 	Adenylosuccinate[c0]  <=> Fumarate[c0] + AMP[c0] 	
rxn05234[c0]	Ribonucleotide reductase GTP c0	MMP0227	Ribonucleotide Reduction	cpd11421[c0] + cpd00038[c0]  -> cpd11420[c0] + cpd00001[c0] + cpd00241[c0] 	trdrd[c0] + GTP[c0]  -> trdox[c0] + H2O[c0] + dGTP[c0] 	
rxn01465[c0]	S-Dihydroorotate amidohydrolase c0	MMP1009	De Novo Pyrimidine Synthesis	cpd00001[c0] + cpd00282[c0]  <=> cpd00067[c0] + cpd00343[c0] 	H2O[c0] + S-Dihydroorotate[c0]  <=> H[c0] + N-Carbamoyl-L-aspartate[c0] 	
rxn00863[c0]	L-Histidinal NAD oxidoreductase c0	MMP0968	Histidine Biosynthesis	cpd00001[c0] + cpd00003[c0] + cpd01324[c0]  -> 2 cpd00067[c0] + cpd00004[c0] + cpd00119[c0] 	H2O[c0] + NAD[c0] + L-Histidinal[c0]  -> 2 H[c0] + NADH[c0] + L-Histidine[c0] 	
rxn09449[c0]	fatty-acid--CoA ligase octadecanoate c0	MMP0566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd01080[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd00327[c0] 	H[c0] + CoA[c0] + ATP[c0] + ocdca[c0]  -> PPi[c0] + AMP[c0] + strcoa[c0] 	
rxn03436[c0]	S-2-Aceto-2-hydroxybutanoate NADP oxidoreductase isomerizing c0	MMP0654	Coenzyme A Biosynthesis; Branched Chain Amino Acid Biosynthesis 	cpd00498[c0]  <=> cpd10162[c0] 	2-Aceto-2-hydroxybutanoate[c0]  <=> R-3-Hydroxy-3-methyl-2-oxopentanoate[c0] 	
rxn08307[c0]	CDP-diacylglycerol synthetase n-C14 0 c0	MMP1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00052[c0] + cpd15522[c0]  <=> cpd00012[c0] + cpd15423[c0] 	CTP[c0] + 1_2-ditetradecanoyl-sn-glycerol_3-phosphate[c0]  <=> PPi[c0] + CDP-1_2-ditetradecanoylglycerol[c0] 	
rxn05555[c0]	iron II transport via ABC system c0	MMP0630	Transport	cpd00001[c0] + cpd00002[c0] + cpd10515[e0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd10515[c0] 	H2O[c0] + ATP[c0] + Fe2[e0]  -> H[c0] + Phosphate[c0] + ADP[c0] + Fe2[c0] 	
rxn02159[c0]	L-Histidinol NAD oxidoreductase c0	MMP0968	Histidine Biosynthesis	cpd00003[c0] + cpd00641[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd01324[c0] 	NAD[c0] + L-Histidinol[c0]  <=> H[c0] + NADH[c0] + L-Histidinal[c0] 	
rxn00727[c0]	Chorismate pyruvate-lyase amino-accepting c0	(MMP1006 and MMP1005)	Tryptophan Synthesis	cpd00053[c0] + cpd00216[c0]  -> cpd00067[c0] + cpd00023[c0] + cpd00020[c0] + cpd00093[c0] 	L-Glutamine[c0] + Chorismate[c0]  -> H[c0] + L-Glutamate[c0] + Pyruvate[c0] + Anthranilate[c0] 	
rxn04385[c0]	L-threonine-O-3-phosphate carboxy-lyase c0	MMP0231	Coenzyme B12 Biosynthesis	cpd00067[c0] + cpd08928[c0]  -> cpd00011[c0] + cpd02547[c0] 	H[c0] + L-Threonine_phosphate[c0]  -> CO2[c0] + R-1-Aminopropan-2-yl_phosphate[c0] 	
rxn01300[c0]	ATP L-homoserine O-phosphotransferase c0	MMP0295	Methionine Biosynthesis	cpd00227[c0] + cpd00002[c0]  <=> cpd00008[c0] + cpd00809[c0] 	L-Homoserine[c0] + ATP[c0]  <=> ADP[c0] + O-Phospho-L-homoserine[c0] 	
rxn00175[c0]	Acetate CoA ligase AMP-forming c0	MMP0148	Pyruvate Metabolism II: Acetyl-CoA, Acetogenesis from Pyruvate	cpd00067[c0] + cpd00010[c0] + cpd00029[c0] + cpd00002[c0]  <=> cpd00022[c0] + cpd00012[c0] + cpd00018[c0] 	H[c0] + CoA[c0] + Acetate[c0] + ATP[c0]  <=> Acetyl-CoA[c0] + PPi[c0] + AMP[c0] 	
rxn06979[c0]	rxn06979 c0	(MMP1478 or MMP1477 or MMP0028)	Coenzyme B12 Biosynthesis	2 cpd00001[c0] + 2 cpd00002[c0] + 2 cpd00053[c0] + cpd03421[c0]  <=> 2 cpd00067[c0] + 2 cpd00009[c0] + 2 cpd00008[c0] + 2 cpd00023[c0] + cpd03914[c0] 	2 H2O[c0] + 2 ATP[c0] + 2 L-Glutamine[c0] + Cobyrinate[c0]  <=> 2 H[c0] + 2 Phosphate[c0] + 2 ADP[c0] + 2 L-Glutamate[c0] + Cob(II)yrinate_diamide[c0] 	
rxn12642[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11584[c0]  <=> cpd00035[c0] + cpd00119[c0] 	H2O[c0] + Ala-His[c0]  <=> L-Alanine[c0] + L-Histidine[c0] 	
rxn05247[c0]	FACOAL140ISO c0	MMP0566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd11430[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd11435[c0] 	H[c0] + CoA[c0] + ATP[c0] + fa1[c0]  -> PPi[c0] + AMP[c0] + fa1coa[c0] 	
rxn00986[c0]	Propanoate CoA ligase AMP-forming c0	MMP0148	Protein Acetylation and Deacetylation in Bacteria	cpd00012[c0] + cpd03560[c0]  -> cpd00067[c0] + cpd00002[c0] + cpd00141[c0] 	PPi[c0] + Propionyladenylate[c0]  -> H[c0] + ATP[c0] + Propionate[c0] 	
rxn07588[c0]	rxn07588 c0	MMP1227	Coenzyme B12 Biosynthesis	cpd00017[c0] + cpd08373[c0]  <=> cpd00067[c0] + cpd00019[c0] + cpd14961[c0] 	S-Adenosyl-L-methionine[c0] + Cobalt-precorrin_6B[c0]  <=> H[c0] + S-Adenosyl-homocysteine[c0] + Cobalt-precorrin_7[c0] 	
rxn10473[c0]	chlorideion transport out via diffusion c0		Transport	cpd00099[e0]  <=> cpd00099[c0] 	Cl-[e0]  <=> Cl-[c0] 	
rxn05559[c0]	formate transport in via proton symport c0	MMP1301	Transport	cpd00067[e0] + cpd00047[e0]  <=> cpd00067[c0] + cpd00047[c0] 	H[e0] + Formate[e0]  <=> H[c0] + Formate[c0] 	
rxn03068[c0]	R-2 3-Dihydroxy-3-methylbutanoate NADP oxidoreductase c0	MMP0654	Coenzyme A Biosynthesis; Branched Chain Amino Acid Biosynthesis 	cpd00006[c0] + cpd02498[c0]  <=> cpd00067[c0] + cpd00005[c0] + cpd02569[c0] 	NADP[c0] + 2_3-Dihydroxy-isovalerate[c0]  <=> H[c0] + NADPH[c0] + 2-Oxo-3-hydroxyisovalerate[c0] 	
rxn12634[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11592[c0]  <=> cpd00033[c0] + cpd00023[c0] 	H2O[c0] + gly-glu-L[c0]  <=> Glycine[c0] + L-Glutamate[c0] 	
rxn01269[c0]	Prephenate NADP oxidoreductasedecarboxylating c0	MMP1514	Chorismate Synthesis	cpd00006[c0] + cpd00219[c0]  -> cpd00011[c0] + cpd00005[c0] + cpd00868[c0] 	NADP[c0] + Prephenate[c0]  -> CO2[c0] + NADPH[c0] + p-hydroxyphenylpyruvate[c0] 	
rxn04048[c0]	cobalt-precorrin-4 methyltransferase c0	MMP1662	Coenzyme B12 Biosynthesis	cpd00017[c0] + cpd08370[c0]  <=> cpd08371[c0] + cpd00019[c0] 	S-Adenosyl-L-methionine[c0] + Cobalt-precorrin_4[c0]  <=> Cobalt-precorrin_5[c0] + S-Adenosyl-homocysteine[c0] 	
rxn00278[c0]	L-Alanine NAD oxidoreductase deaminating c0	MMP1513	Pyruvate Alanine Serine Interconversions	cpd00001[c0] + cpd00035[c0] + cpd00003[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd00013[c0] + cpd00020[c0] 	H2O[c0] + L-Alanine[c0] + NAD[c0]  <=> H[c0] + NADH[c0] + NH3[c0] + Pyruvate[c0] 	
rxn00790[c0]	5-Phosphoribosylamine pyrophosphate phosphoribosyltransferase c0	MMP1146	De Novo Purine Biosynthesis	cpd00001[c0] + cpd00053[c0] + cpd00103[c0]  -> cpd00012[c0] + cpd00023[c0] + cpd01982[c0] 	H2O[c0] + L-Glutamine[c0] + PRPP[c0]  -> PPi[c0] + L-Glutamate[c0] + 5-Phosphoribosylamine[c0] 	
rxn00060[c0]	Porphobilinogen ammonia-lyase polymerizing c0	MMP0872	Heme and Siroheme Biosynthesis	cpd00001[c0] + 4 cpd00689[c0]  -> 4 cpd00013[c0] + cpd00755[c0] 	H2O[c0] + 4 Porphobilinogen[c0]  -> 4 NH3[c0] + Hydroxymethylbilane[c0] 	
rxn04050[c0]	precorrin-6A reductase c0	MMP0599	Coenzyme B12 Biosynthesis	cpd00067[c0] + cpd00005[c0] + cpd08372[c0]  <=> cpd00006[c0] + cpd08373[c0] 	H[c0] + NADPH[c0] + Cobalt-precorrin_6[c0]  <=> NADP[c0] + Cobalt-precorrin_6B[c0] 	
rxn02473[c0]	D-erythro-1-Imidazol-4-ylglycerol 3-phosphate hydro-lyase c0	MMP0548	Histidine Biosynthesis	cpd02843[c0]  -> cpd00001[c0] + cpd00930[c0] 	D-erythro-imidazol-glycerol-phosphate[c0]  -> H2O[c0] + imidazole_acetol-phosphate[c0] 	
